"","age","male","msm","preg","LN0","LN5","LN10","LN15","LN20","LN25","LN30"
"1",2,1,1,0,0,0.00196818854454497,0.00227261320888011,0.00229958685902058,0.00230197174641284,0.00230218191761922,0.0023022003993791
"2",7,1,1,0,0,0.00196871530208739,0.0022732090768419,0.00230013415487561,0.00230250696134969,0.00230271561809326,0.00230273394322721
"3",12,1,1,0,0,0.00196810785158099,0.00227192752272038,0.00229870512382113,0.00230105985743231,0.00230126666028033,0.00230128479627762
"4",17,1,1,0,0,0.00196534750922174,0.00226789018468816,0.00229449787782687,0.00229683468008912,0.00229703961072676,0.00229705754713688
"5",22,1,1,0,0,0.00196258014106243,0.00226418188250007,0.00229067292604838,0.00229299611215689,0.00229319944738923,0.00229321716262485
"6",27,1,1,0,0,0.00196132092824412,0.00226240560714056,0.00228881291248537,0.0022911241933831,0.00229132555979273,0.00229134294213276
"7",32,1,1,0,0,0.00196018149144092,0.00226071287285262,0.00228701973104403,0.00228931167128088,0.00228950951601866,0.00228952634853579
"8",37,1,1,0,0,0.00195875540327838,0.00225854809775724,0.00228467006595707,0.00228692496508948,0.00228711681061794,0.0022871328250794
"9",42,1,1,0,0,0.00195629961908421,0.00225447435081433,0.00228021637421933,0.00228240649089072,0.00228258931266045,0.00228260421621014
"10",50,1,1,0,0,0.00194476934689188,0.00223665561403275,0.00226122486263057,0.00226324827419922,0.00226341004962952,0.00226342232518826
"11",60,1,1,0,0,0.00191456703261238,0.00219241335695474,0.00221463030290333,0.00221631613016428,0.00221643244980953,0.00221643924480716
"12",76,1,1,0,0,0.00178950178403828,0.00200644562803619,NA,NA,NA,NA
