"","age","male","msm","preg","LN0","LN5","LN10","LN15","LN20","LN25","LN30"
"1",2,0,0,0,0,0.00379561550767378,0.00590891616988771,0.00671328368060068,0.00691891784885118,0.00696386727020413,0.00697237870149393
"2",7,0,0,0,0,0.00379572544372888,0.00584697731793217,0.00637140645663844,0.00648604103694799,0.00650774775361694,0.00651170340030005
"3",12,0,0,0,0,0.00364236898373843,0.00498141364584981,0.00527413877936327,0.00532956796663785,0.00533966890839402,0.00534233729294771
"4",17,0,0,0,0,0.00299956360458152,0.00400897648980484,0.0042001320436334,0.00423496659996768,0.00424416890944545,0.00424699632380569
"5",22,0,0,0,0,0.00296028675107403,0.00382734313016597,0.00398536402525518,0.00402710869946682,0.00403993477227112,0.00404461827863866
"6",27,0,0,0,0,0.00276350400076685,0.00356380615222271,0.00377524499207283,0.00384020968616824,0.00386393187791809,0.00387307917820535
"7",32,0,0,0,0,0.0028525595870968,0.00403576707209836,0.0043993365716843,0.00453209584342374,0.00458328794815534,0.00460285101846351
"8",37,0,0,0,0,0.00341100170495675,0.0049514942993036,0.00551405328138775,0.00573097657574797,0.00581387384440502,0.00584519982925344
"9",42,0,0,0,0,0.00346649325117152,0.00531716362462463,0.00603082884817332,0.00630355611988595,0.00640661681802275,0.00644490929423397
"10",50,0,0,0,0,0.00376202502535943,0.00581549723042776,0.00659532758056503,0.00688735688115801,0.0069941265982896,0.00703150280618948
"11",60,0,0,0,0,0.00372161417191427,0.00570961440154214,0.00643649791115631,0.00669095348262956,0.00677329279127219,0.00679637217550622
"12",76,0,0,0,0,0.00349775353729019,0.00510047554414463,NA,NA,NA,NA
