"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","LE_loss","QALY_loss","n_sim"
"1",2,1,0,0,73.919995834907,73.919996289754,73.6036129015025,73.919996289754,4.54846940556308e-07,0.316383388251481,1
"2",7,1,0,0,68.9882665455876,68.9882684993047,68.6930041360213,68.9882684993048,1.95371717381931e-06,0.295264363283465,1
"3",12,1,0,0,64.0239939309823,64.0240023193695,63.7499755406588,64.0240023193696,8.38838724348534e-06,0.274026778710869,1
"4",17,1,0,0,59.1346879885506,59.1347240506741,58.8815799590498,59.134724050674,3.6062123470515e-05,0.253144091624222,1
"5",22,1,0,0,54.4206701002175,54.420825573207,54.1877367898815,54.420825573207,0.000155472989483485,0.233088783325456,1
"6",27,1,0,0,49.8231814717373,49.8236119262197,49.6099491214408,49.8236119262197,0.000430454482490461,0.213662804778963,1
"7",32,1,0,0,45.2532686022231,45.2540680813518,45.0596261028157,45.2540680813518,0.000799479128751557,0.194441978536062,1
"8",37,1,0,0,40.6998050287391,40.7009714534354,40.5256739222456,40.7009714534354,0.00116642469635053,0.175297531189855,1
"9",42,1,0,0,36.1619302147708,36.1634415995883,36.0072183176604,36.1634415995883,0.00151138481756874,0.156223281927943,1
"10",50,1,0,0,29.0670716283704,29.0690498077688,28.9426193860473,29.0690498077687,0.00197817939831424,0.126430421721437,1
"11",60,1,0,0,20.9288557508381,20.9295739710551,20.8387601359393,20.9295739710551,0.000718220217002852,0.0908138351158172,1
"12",76,1,0,0,9.52398161080477,9.52435279288266,9.48107360590576,9.52435279288265,0.000371182077886445,0.0432791869768963,1
"13",2,1,0,0,73.9199940056325,73.919996289754,73.7030333635429,73.919996289754,2.28412142178058e-06,0.216962926211053,2
"14",7,1,0,0,68.988261410366,68.9882684993047,68.785271501155,68.9882684993048,7.08893873024863e-06,0.202996998149771,2
"15",12,1,0,0,64.0239803274185,64.0240023193695,63.8350395417148,64.0240023193696,2.1991951072664e-05,0.188962777654837,2
"16",17,1,0,0,59.1346557344234,59.1347240506741,58.9595456874256,59.134724050674,6.83162506334156e-05,0.175178363248378,2
"17",22,1,0,0,54.4206119466479,54.420825573207,54.2588486415738,54.420825573207,0.000213626559094848,0.161976931633177,2
"18",27,1,0,0,49.823111201603,49.8236119262197,49.6743773691624,49.8236119262197,0.000500724616699699,0.149234557057376,2
"19",32,1,0,0,45.2532042124731,45.2540680813518,45.1174215314212,45.2540680813518,0.000863868878717255,0.13664654993061,2
"20",37,1,0,0,40.6997567424472,40.7009714534354,40.5768674536559,40.7009714534354,0.0012147109881866,0.124103999779514,2
