"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","LE_loss","QALY_loss","n_sim"
"1",2,0,0,0,78.147001845785,78.1470019031486,77.8141503554981,78.1470019031486,5.73635645650938e-08,0.332851547650534,1
"2",7,0,0,0,73.202848478875,73.2028487252173,72.8965470194774,73.2028487252173,2.46342366949648e-07,0.30630170573987,1
"3",12,0,0,0,68.2370224866668,68.2370235451192,67.9747306544734,68.2370235451192,1.05845239772862e-06,0.262292890645782,1
"4",17,0,0,0,63.2956481233551,63.295653598944,63.0859956630977,63.2956535989441,5.47558889252286e-06,0.209657935846366,1
"5",22,0,0,0,58.4119673068715,58.4120026000562,58.2223383427932,58.4120026000562,3.52931847160676e-05,0.189664257262997,1
"6",27,0,0,0,53.574867431635,53.5749965228312,53.4075437247801,53.5749965228312,0.000129091196221509,0.167452798051073,1
"7",32,0,0,0,48.7743267708571,48.7746559484144,48.6110968124414,48.7746559484144,0.000329177557297555,0.163559135972974,1
"8",37,0,0,0,44.0153436838132,44.0159889229955,43.8454189793957,44.0159889229955,0.000645239182240687,0.170569943599872,1
"9",42,0,0,0,39.2956692313184,39.2966203508564,39.1380731186505,39.2966203508563,0.000951119537994316,0.158547232205827,1
"10",50,0,0,0,31.9061608927199,31.9075262079402,31.7696244174341,31.9075262079402,0.00136531522031191,0.137901790506032,1
"11",60,0,0,0,23.1739036859257,23.1744201591943,23.0744429501002,23.1744201591943,0.000516473268607598,0.0999772090940496,1
"12",76,0,0,0,10.4469937663445,10.447299978622,10.4006141843604,10.447299978622,0.00030621227745975,0.046685794261597,1
"13",2,0,0,0,78.1470017403589,78.1470019031486,77.9215405583835,78.1470019031486,1.62789703495037e-07,0.225461344765122,2
"14",7,0,0,0,73.2028482200956,73.2028487252173,72.998703399081,73.2028487252173,5.05121676042108e-07,0.204145326136256,2
"15",12,0,0,0,68.2370219763029,68.2370235451192,68.0694276337499,68.2370235451192,1.56881635859918e-06,0.167595911369304,2
