"","age","mean","lb","ub"
"1",2,0.226274948866813,0.0668878724845303,0.856836788857999
"2",7,0.210201938628461,0.063166102895574,0.788747643855518
"3",12,0.194103120621192,0.0594188497449364,0.72080371520917
"4",17,0.178318270583372,0.0557257845353535,0.654398045850345
"5",22,0.16315845753639,0.0520805481618968,0.590707092907482
"6",27,0.148472382991169,0.0484423694694158,0.529037111173026
"7",32,0.133991525057608,0.044843463416475,0.468404241701833
"8",37,0.119671802335195,0.0412624864377149,0.40879635727621
"9",42,0.10554592748954,0.0376923926235968,0.350513466533662
"10",50,0.0838735919632907,0.0319396712005972,0.262207156849035
"11",60,0.0591273686229094,0.0246003909803024,0.166404393287784
"12",76,0.0282131206822928,0.0149234777012151,0.0565144731384621
