"","age","mean","lb","ub"
"1",2,0.594822404823429,0.165210636509842,0.879681473112643
"2",7,0.549958293217723,0.155163524696514,0.81224642897085
"3",12,0.505064981711742,0.145058192360262,0.744737154323003
"4",17,0.461089762061559,0.135117089996777,0.678576939536644
"5",22,0.418861943556117,0.125567733784936,0.61498077107073
"6",27,0.37790613736627,0.116320257638536,0.553185426402266
"7",32,0.337498953741382,0.107170649875433,0.494257123087387
"8",37,0.297566258799284,0.0980567691957472,0.436648862411989
"9",42,0.258240119792603,0.0889729909057824,0.379556433831347
"10",50,0.197915655721455,0.0747710654465541,0.29114962969256
"11",60,0.130663826832861,0.0577583292732643,0.191311700430471
"12",76,0.048352362709697,0.0348753473632021,0.0646262484412753
