"","age","mean","lb","ub"
"1",2,0.552159587971903,0.172783291083077,0.850975830615696
"2",7,0.459737348532542,0.159821933112704,0.723973805122633
"3",12,0.33043487684119,0.137578762517412,0.526289162175095
"4",17,0.233632093469701,0.111288004972462,0.370526268717794
"5",22,0.204979425105999,0.101931302952294,0.322688671234614
"6",27,0.180807131759524,0.0912326379785689,0.280241023653452
"7",32,0.204265695738183,0.0898756556317878,0.311588203428651
"8",37,0.247795589277712,0.0945452200747448,0.371586465588188
"9",42,0.250205844448704,0.0893763309563049,0.36989157152499
"10",50,0.220265183388596,0.0802506041080304,0.324881124510613
"11",60,0.14692132523078,0.0621680665842951,0.216439704533013
"12",76,0.0531408252383766,0.0366109447859139,0.0720156173116786
