"","age","mother_mean","mother_lb","mother_ub","baby_mean","baby_lb","baby_ub"
"1",2,77.5137981401064,77.2095670907752,77.9731783302869,-4.23859981715207,-4.71029504972374,-3.77536068926582
"2",7,72.614805550224,72.3332509821983,73.0390993762909,-4.23859981715207,-4.71029504972374,-3.77536068926582
"3",12,67.6941846957484,67.4353660511302,68.08338937812,-4.23859981715207,-4.71029504972374,-3.77536068926582
"4",17,62.7976344841524,62.561401303912,63.1520791453502,-4.23859981715207,-4.71029504972374,-3.77536068926582
"5",22,57.9580958271945,57.7441526001419,58.2783516983893,-4.23859981715207,-4.71029504972374,-3.77536068926582
"6",27,53.1645268300753,52.9726230329168,53.4511347553123,-4.23859981715207,-4.71029504972374,-3.77536068926582
"7",32,48.4069983102171,48.2364901191333,48.660470816674,-4.23859981715207,-4.71029504972374,-3.77536068926582
"8",37,43.6904583462494,43.5383163666536,43.9113759272674,-4.23859981715207,-4.71029504972374,-3.77536068926582
"9",42,39.01247979992,38.8787105388105,39.2014927727023,-4.23859981715207,-4.71029504972374,-3.77536068926582
"10",50,31.6872610245516,31.5826450834296,31.8272756038321,-4.23859981715207,-4.71029504972374,-3.77536068926582
"11",60,23.0274988339635,22.9579804546613,23.11225209261,-4.23859981715207,-4.71029504972374,-3.77536068926582
"12",76,-0.0900100335901103,-0.149859948121804,-0.0267345207437406,-4.23859981715207,-4.71029504972374,-3.77536068926582
