"","age","mean","lb","ub"
"1",2,0.195368071927631,0.0714385418464354,0.28314015488287
"2",7,0.190526383403334,0.0703372093599524,0.276221032090595
"3",12,0.184788376254035,0.069009319246175,0.267976187714971
"4",17,0.178388964706155,0.0675131365136774,0.258760058571924
"5",22,0.171608287419443,0.0659392598643325,0.248986281020923
"6",27,0.164230063886476,0.0642503788087941,0.238312674286894
"7",32,0.155858059907443,0.0623344348664879,0.226136766448316
"8",37,0.146284739611137,0.0601206620599587,0.212137225442294
"9",42,0.135367933629614,0.0575534890654921,0.196066935463354
"10",50,0.115373758474589,0.0527441678924834,0.166381999700005
"11",60,0.0874965783215956,0.0453950584365206,0.124703034909023
"12",76,0.0411050348278023,0.0320576146215174,0.0536011382552203
