"","age","mean","lb","ub"
"1",2,0.183569618568119,0.0722783809257298,0.27615374132179
"2",7,0.16478789474574,0.0705101951693674,0.25147757837345
"3",12,0.129295449334916,0.06517882523436,0.197482253422751
"4",17,0.0987744045722469,0.0569872758195593,0.148703325787872
"5",22,0.0919779943099989,0.0550981268792504,0.137352561848747
"6",27,0.0852170332824144,0.0521577347762396,0.125498421204881
"7",32,0.0976499524400172,0.0530865065142074,0.143588403876787
"8",37,0.121462563254603,0.0573225261950447,0.17809096142937
"9",42,0.12805571080663,0.0566638334440296,0.186046082862907
"10",50,0.124605866059498,0.0550660242281646,0.180501731205572
"11",60,0.096032206107305,0.0478007875541253,0.137990939585364
"12",76,0.0447113464987954,0.0334022102361315,0.0591586580466547
