"","age","mother_mean","mother_lb","mother_ub","baby_mean","baby_lb","baby_ub"
"1",2,28.0532332602861,27.9634202282145,28.1808379415307,-1.77380824921692,-1.95942216366542,-1.57431164095836
"2",7,27.6070560436022,27.5189530286439,27.7314977551152,-1.77380824921692,-1.95942216366542,-1.57431164095836
"3",12,27.0687224903064,26.9826845910764,27.189404835859,-1.77380824921692,-1.95942216366542,-1.57431164095836
"4",17,26.4417839241509,26.3581529296642,26.5581310244109,-1.77380824921692,-1.95942216366542,-1.57431164095836
"5",22,25.7305517427557,25.6496604985235,25.8420092340628,-1.77380824921692,-1.95942216366542,-1.57431164095836
"6",27,24.9180953966429,24.8403487246197,25.0240145236062,-1.77380824921692,-1.95942216366542,-1.57431164095836
"7",32,23.9860881003065,23.911967371696,24.0857225617297,-1.77380824921692,-1.95942216366542,-1.57431164095836
"8",37,22.9177279835069,22.8477918537249,23.010236110505,-1.77380824921692,-1.95942216366542,-1.57431164095836
"9",42,21.6882887813066,21.6231972756204,21.7727181312681,-1.77380824921692,-1.95942216366542,-1.57431164095836
"10",50,19.3751058283419,19.3192099631958,19.4446456701732,-1.77380824921692,-1.95942216366542,-1.57431164095836
"11",60,15.9109899021171,15.869031168639,15.9592213206703,-1.77380824921692,-1.95942216366542,-1.57431164095836
"12",76,-0.0859345011417233,-0.144931450776614,-0.0259203762337304,-1.77380824921692,-1.95942216366542,-1.57431164095836
