"","age","PS_mean","PS_lb","PS_ub","SS_mean","SS_lb","SS_ub","TS_notx_mean","TS_notx_lb","TS_notx_ub","TS_mean","TS_lb","TS_ub","EN_mean","EN_lb","EN_ub","LN_mean","LN_lb","LN_ub","Dead_TS_mean","Dead_TS_lb","Dead_TS_ub"
"1",2,0.000536918230575455,0.000261339428179654,0.000826518259796039,0.00927365468210273,0.00532100201794313,0.014615669877621,0.000638779510304187,9.57697191773431e-05,0.00256912367669017,0.0683135595941684,0.0182894320493219,0.248037398902489,0.00305062013700977,0.000537553305386183,0.00662820945414004,8.06190958886788e-05,8.70707417885424e-06,0.000302823081112356,1.09728722228385e-05,1.64573142204346e-15,8.49156211833357e-05
"2",7,0.000536920101785099,0.000261340186465616,0.000826520107166062,0.00927411676030226,0.00532122480005605,0.014616444734849,0.000638097973987414,9.57897351916003e-05,0.00256345178983514,0.0665705014072407,0.0179055397048862,0.240731145946379,0.00305104349668241,0.000537627814861934,0.00662904107039617,8.0540623353633e-05,8.70883131939447e-06,0.000302164862891117,1.85310066396069e-05,2.32125938248944e-13,0.000143085283083666
"3",12,0.000536919789748153,0.000261340060017553,0.000826519799108894,0.00927403123354521,0.00532118583506377,0.0146162959257355,0.000636417742422975,9.57634171220378e-05,0.0025521787813497,0.0644943531635462,0.0174415647998453,0.232116430977473,0.00305085958825523,0.00053759809769768,0.00662875968092028,8.03364067867661e-05,8.70764242390155e-06,0.000300843515969386,3.14096185626867e-05,3.30027924132116e-11,0.000240965417822607
"4",17,0.000536913294841913,0.000261337428025065,0.00082651338690731,0.00927240872196102,0.00532040858228057,0.0146135632915568,0.000633894454043376,9.56532125739014e-05,0.00253713479412615,0.0621678238080704,0.0169183705998437,0.222498152311079,0.00304916101121795,0.000537303342042534,0.00662556860429672,8.00245813742646e-05,8.69982397388877e-06,0.000299077504260755,5.41928047877699e-05,4.69399888975861e-09,0.00040674391339697
"5",22,0.000536905432096522,0.000261334241696348,0.000826505624114099,0.00927045539812861,0.00531947003465355,0.0146102801258935,0.000631551031521273,9.55427135093068e-05,0.00252300699869531,0.0596859096348655,0.0163635448400738,0.212196895413258,0.00304723740786153,0.000536967155845473,0.00662187854810147,7.97380424620428e-05,8.69137230646944e-06,0.000297430813318638,0.000101306069035937,7.77778874486765e-07,0.000691959693261337
"6",27,0.000536901869843945,0.000261332798103793,0.000826502107085059,0.0092695717140783,0.00531904512013844,0.014608795524162,0.000629447351225474,9.54899767370546e-05,0.00250879913877336,0.0569622968429424,0.0157562027576134,0.200883412946607,0.00304637292120616,0.000536816311063649,0.00662022138070458,7.94881959139513e-05,8.68756506242803e-06,0.000295789901518587,0.000191503370943313,1.27873573776899e-05,0.0011123254785626
"7",32,0.000536899048506551,0.000261331654760227,0.000826499321540026,0.00926886885903959,0.00531870795522587,0.0146076128341141,0.000626670349636497,9.54406800071998e-05,0.00248943073159088,0.0538615781869916,0.0150593732101334,0.188086670685665,0.00304565290675898,0.00053669124887659,0.00661886133047038,7.91605161035415e-05,8.68428727732782e-06,0.000293552144600421,0.00031547205417787,3.76386850695952e-05,0.001610482163047
"8",37,0.000536895404340378,0.000261330177959455,0.000826495723570027,0.0092679617350198,0.00531827262327459,0.0146060868362061,0.00062264378921338,9.53770414533741e-05,0.00246119221279227,0.0503234192065102,0.0142546512245545,0.173630329117866,0.00304473179725622,0.000536531098535879,0.00661711595736008,7.8683824813226e-05,8.68011948298907e-06,0.000290277730061187,0.000449927381799548,6.88206258587683e-05,0.00209756599308209
"9",42,0.000536890537830844,0.000261328205792581,0.000826490918695154,0.00926674135829959,0.00531768936852687,0.0146040281419941,0.000616440349243195,9.52693342821623e-05,0.00241864874998471,0.046297615120745,0.0133230166615296,0.157415499671243,0.00304338110893576,0.00053629873542418,0.00661463237357646,7.79408105302341e-05,8.67360790833242e-06,0.000285316840585879,0.000584696954214314,0.000103571226356987,0.00251683854218273
"10",50,0.000536864411985448,0.000261317617983538,0.000826465122535666,0.00926021878343201,0.00531456480684945,0.014593041848277,0.00059962778994557,9.47830488335865e-05,0.00231027184314632,0.0389681786920513,0.0115768255095662,0.128567067710537,0.00303649154486863,0.000535106275422645,0.00660175388194837,7.58932108069728e-05,8.64152708464936e-06,0.000272595565456183,0.000803012673679592,0.000197774621310614,0.0027554999076967
"11",60,0.000536789959449617,0.000261287443057378,0.000826391598519626,0.00924169526830011,0.00530567826394088,0.0145618699078304,0.000566230540262083,9.35833287399008e-05,0.00210262245114111,0.0289992613458311,0.00912923156045801,0.0904519217805178,0.00301744466691743,0.00053179714519493,0.00656580266594217,7.17695422278342e-05,8.55471962541568e-06,0.000248121522510005,0.000358630866907056,1.14957906551071e-05,0.00189973796133919
"12",76,0.000536484303115777,0.000261163530051395,0.000826089583543113,0.00916600570062856,0.00526933321982063,0.0144345314331388,0.000454347922094145,8.84882500711235e-05,0.00145438627182906,0.0117413996198443,0.00443417344818546,0.0304284341567445,0.00293950085119209,0.000518267726347802,0.00641896898687609,5.77679417071373e-05,8.19795481115772e-06,0.000171323985793412,0.000211289650936982,5.56391688262608e-05,0.000673775288751651
