"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","LE_loss","QALY_loss"
"1",2,1,0,0,29.5230218725627,29.5230232638257,27.5816101776749,27.7215579745273,1.39126292708625e-06,0.139947796852439
"2",7,1,0,0,28.8605341036381,28.8605382177847,27.0433838112216,27.1803495206431,4.11414657719433e-06,0.136965709421549
"3",12,1,0,0,28.0787479851465,28.0787601461822,26.3921615060126,26.5255582263385,1.21610356274005e-05,0.133396720325855
"4",17,1,0,0,27.2088180633058,27.2088540562548,25.6565949217174,25.7859964091779,3.59929490372224e-05,0.129401487460456
"5",22,1,0,0,26.2918327332112,26.2919395584593,24.8768068474616,25.0019926778353,0.000106825248128217,0.125185830373635
"6",27,1,0,0,25.2987894537521,25.2990374224323,24.0257289448538,24.1463428265994,0.00024796868014576,0.120613881745612
"7",32,1,0,0,24.1742575895136,24.174694858654,23.050759696918,23.166164042218,0.000437269140373786,0.1154043453
"8",37,1,0,0,22.8929868114708,22.8936242573107,21.9249802833286,22.0343735870874,0.000637445839888784,0.109393303758765
"9",42,1,0,0,21.4314295912857,21.4322643216156,20.6209172648379,20.7233704326711,0.000834730329920319,0.102453167833158
"10",50,1,0,0,18.7396747748207,18.7407216561711,18.1764299523862,18.2659278835185,0.00104688135036213,0.0894979311322786
"11",60,1,0,0,14.9911341192258,14.9916919730005,14.7012985489827,14.7720077572748,0.000557853774674655,0.0707092082921434
"12",76,1,0,0,8.08269929063311,8.08295799414649,8.04554050371934,8.08295799414649,0.00025870351338142,0.0374174904271491
