"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","LE_loss","QALY_loss"
"1",2,1,0,0,73.9199896981238,73.919996289754,73.5291011388077,73.919996289754,6.59163015370723e-06,0.390895150946307
"2",7,1,0,0,68.988251685064,68.9882684993047,68.6246084128094,68.9882684993048,1.68142406948846e-05,0.363660086495344
"3",12,1,0,0,64.0239594465608,64.0240023193695,63.6876954422839,64.0240023193696,4.28728087058516e-05,0.336306877085768
"4",17,1,0,0,59.1346145938896,59.1347240506741,58.8252843813662,59.134724050674,0.000109456784493034,0.309439669307778
"5",22,1,0,0,54.4205453239012,54.420825573207,54.1372084467718,54.420825573207,0.000280249305795621,0.283617126435182
"6",27,1,0,0,49.8230285405216,49.8236119262197,49.5650757497702,49.8236119262197,0.000583385698092798,0.258536176449546
"7",32,1,0,0,45.2531191133108,45.2540680813518,45.0203877456102,45.2540680813518,0.000948968041065257,0.23368033574161
"8",37,1,0,0,40.699679764033,40.7009714534354,40.4920361260833,40.7009714534354,0.00129168940246416,0.208935327352151
"9",42,1,0,0,36.161858896978,36.1634415995883,35.9791231975339,36.1634415995883,0.00158270261038496,0.184318402054451
"10",50,1,0,0,29.0672826613505,29.0690498077688,28.9231549130053,29.0690498077687,0.00176714641828113,0.145894894763391
"11",60,1,0,0,20.9286802268106,20.9295739710551,20.8281232032885,20.9295739710551,0.000893744244478967,0.101450767766632
"12",76,1,0,0,9.52402343868305,9.52435279288266,9.48112762205749,9.52435279288265,0.000329354199603671,0.0432251708251634
