"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","LE_loss","QALY_loss"
"1",2,0,0,0,78.1470015216875,78.1470019031486,77.7453942782183,78.1470019031486,3.81461120468884e-07,0.401607624930364
"2",7,0,0,0,73.2028477523758,73.2028487252173,72.8481468247872,73.2028487252173,9.72841476709618e-07,0.354701900430101
"3",12,0,0,0,68.2370210609199,68.2370235451192,67.9591580461701,68.2370235451192,2.4841993138125e-06,0.277865498949083
"4",17,0,0,0,63.2956450318242,63.295653598944,63.0855414333356,63.2956535989441,8.56711981356284e-06,0.2101121656085
"5",22,0,0,0,58.4119637692248,58.4120026000562,58.2255661420231,58.4120026000562,3.88308314498431e-05,0.186436458033079
"6",27,0,0,0,53.5748708189667,53.5749965228312,53.4106546592899,53.5749965228312,0.000125703864519267,0.164341863541253
"7",32,0,0,0,48.7743220392949,48.7746559484144,48.602643731451,48.7746559484144,0.000333909119525799,0.172012216963424
"8",37,0,0,0,44.0153217008217,44.0159889229955,43.8255298273198,44.0159889229955,0.000667222173774462,0.190459095675706
"9",42,0,0,0,39.2956432481639,39.2966203508564,39.1129296398365,39.2966203508563,0.000977102692438336,0.183690711019807
"10",50,0,0,0,31.9063001709976,31.9075262079402,31.7469144332302,31.9075262079402,0.00122603694255119,0.160611774710024
"11",60,0,0,0,23.1737700692044,23.1744201591943,23.0616555974196,23.1744201591943,0.000650089989846947,0.11276456177465
"12",76,0,0,0,10.4470241853015,10.447299978622,10.4002849152033,10.447299978622,0.000275793320486883,0.0470150634186393
