"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","QALY_baby","LE_loss","QALY_loss"
"1",2,0,0,1,30.1639673568336,30.1639680730653,28.1104821303128,28.2533598015368,-1.78085511867061,7.16231681963109e-07,0.142877671223939
"2",7,0,0,1,29.5971839965335,29.5971861140679,27.6627121825991,27.803102641513,-1.78085511867061,2.11753435408468e-06,0.140390458913828
"3",12,0,0,1,28.9314682888917,28.9314745477906,27.1224988227165,27.2599050712754,-1.78085511867061,6.25889892802434e-06,0.137406248558975
"4",17,0,0,1,28.1716787688417,28.1716972762345,26.4934008385706,26.6273466012026,-1.78085511867061,1.85073927951862e-05,0.133945762632003
"5",22,0,0,1,27.320543927622,27.320598689653,25.7797375085799,25.9097740974883,-1.78085511867061,5.47620309774288e-05,0.130036588908442
"6",27,0,0,1,26.3609263401226,26.3610602128057,24.9645359795863,25.0901389659506,-1.78085511867061,0.000133872683093728,0.125602986364296
"7",32,0,0,1,25.2727138140127,25.2729691853691,24.0294309154056,24.1499819321011,-1.78085511867061,0.000255371356409739,0.120551016695543
"8",37,0,0,1,24.0408919914147,24.0412947698537,22.9575872727909,23.072366392685,-1.78085511867061,0.000402778439010376,0.114779119894106
"9",42,0,0,1,22.6440830051871,22.6446384817051,21.7242463958129,21.8324012920338,-1.78085511867061,0.000555476518016462,0.10815489622092
"10",50,0,0,1,20.0603802376527,20.0610891081507,19.4040302421773,19.4997116944014,-1.78085511867061,0.000708870497952319,0.0956814522241309
"11",60,0,0,1,16.2800093110463,16.2804082665332,15.9302727107569,16.0070221082244,-1.78085511867061,0.000398955486861752,0.0767493974675144
"12",76,0,0,1,8.79524684501757,8.79546180697912,-0.059724,8.79546180697912,-1.78085511867061,0.000214961961541249,8.85518580697912
