"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","QALY_baby","LE_loss","QALY_loss"
"1",2,0,0,1,78.146998330502,78.1470019031486,77.7327608208487,78.1470019031486,-4.27480104814504,3.57264664785362e-06,0.414241082299981
"2",7,0,0,1,73.2028396139051,73.2028487252173,72.8159281069948,73.2028487252173,-4.27480104814504,9.11131223801931e-06,0.386920618222533
"3",12,0,0,1,68.2370003144207,68.2370235451192,67.8775162880253,68.2370235451192,-4.27480104814504,2.32306985452624e-05,0.359507257093867
"4",17,0,0,1,63.2955943441553,63.295653598944,62.9633906134336,63.2956535989441,-4.27480104814504,5.92547887450223e-05,0.332262985510432
"5",22,0,0,1,58.4118513488829,58.4120026000562,58.1066119530141,58.4120026000562,-4.27480104814504,0.000151251173321043,0.305390647042117
"6",27,0,0,1,53.574666971407,53.5749965228312,53.2961362467956,53.5749965228312,-4.27480104814504,0.000329551424172791,0.278860276035616
"7",32,0,0,1,48.7740799455891,48.7746559484144,48.5220446522802,48.7746559484144,-4.27480104814504,0.000576002825276589,0.252611296134212
"8",37,0,0,1,44.0151457805029,44.0159889229955,43.7893511439149,44.0159889229955,-4.27480104814504,0.000843142492612969,0.226637779080633
"9",42,0,0,1,39.295537748316,39.2966203508564,39.0957077567488,39.2966203508563,-4.27480104814504,0.00108260254036452,0.200912594107486
"10",50,0,0,1,31.9063001709976,31.9075262079402,31.7469144332302,31.9075262079402,-4.27480104814504,0.00122603694255119,0.160611774710024
"11",60,0,0,1,23.1737700692044,23.1744201591943,23.0616555974196,23.1744201591943,-4.27480104814504,0.000650089989846947,0.11276456177465
"12",76,0,0,1,10.4470241853015,10.447299978622,-0.063468,10.447299978622,-4.27480104814504,0.000275793320486883,10.510767978622
