"","age","PS","SS","EL","LL","TS_notx","TS","EN","LN","Treated","Dead_TS","Dead_other"
"1",2,0.000631889192383819,0.0113629338989997,0,0,0.00105411727397282,0.123216584731247,0.00363377021756221,0.000123926237710658,0,7.75857092289569e-08,0.959920097991311
"2",7,0.000631890635790164,0.0113632976286174,0,0,0.00100052462008844,0.115034270738896,0.0036341099657203,0.000117465776421875,0,2.33030681918285e-07,1.11560279711005
"3",12,0.000631876413270638,0.0113625242690982,0,0,0.000842198572879834,0.0950693965382113,0.00363595311943694,9.83793271687765e-05,0,7.02303521560189e-07,1.30726333059019
"4",17,0.000628024666769232,0.0111621808273366,0,0,0.000679349335366963,0.0747551129710896,0.00364532030156964,7.87412357380371e-05,0,2.86371236489473e-06,1.51489240168517
"5",22,0.000628021711259054,0.0111614248831049,0,0,0.000650486119331892,0.0694647707887769,0.00364523450085458,7.52624374462017e-05,0,1.53338788506792e-05,1.73160509753911
"6",27,0.000626637065577926,0.0110898757916055,0,0,0.00061982647038809,0.0636415097801525,0.00365025294631094,7.15632994139062e-05,0,5.5215390235362e-05,1.95631239736262
"7",32,0.000626633656081286,0.0110890024569044,0,0,0.000715628965607739,0.0696940465965226,0.00364750463235508,8.31163942076922e-05,0,0.000158627713342964,2.20039489264967
"8",37,0.000630192002799372,0.0112717227270262,0,0,0.000890597517565007,0.0816801939781224,0.0036341580734806,0.000104223656747606,0,0.000344536095584246,2.46000008844691
"9",42,0.000630186212449725,0.0112702417157959,0,0,0.000968526291398374,0.0825593897915709,0.00363172462124902,0.000113625175903172,0,0.000550603228616587,2.73856883386746
"10",50,0.00063184894879648,0.0113526673784323,0,0,0.0010536436025932,0.078213734061434,0.00362269772481657,0.000123901896564192,0,0.000809238347817084,3.16731778301877
"11",60,0.000631796518468331,0.0113393294905323,0,0,0.00102386019887453,0.0596379158312903,0.00360864482307227,0.000120320708096645,0,0.000486731225616315,3.44312347644028
"12",76,0.000631518667666838,0.011268847497288,0,0,0.000858642405316795,0.0236794777533959,0.00353352656737053,0.000100479961388944,0,0.000275490073039048,2.68328305582536
