"","age","male","msm","preg","TS0","TS5","TS10","TS15","TS20","TS25","TS30"
"1",2,1,1,0,0,0.0145669154284798,0.0166768690061962,0.0168638048074772,0.0168803328199544,0.0168817893718791,0.0168819174562318
"2",7,1,1,0,0,0.0145707065959456,0.0166811392078552,0.0168677383893026,0.0168841826772538,0.0168856287334796,0.0168857557323658
"3",12,1,1,0,0,0.0145664384373996,0.0166721990021108,0.0168577761224573,0.0168740951598392,0.0168755283679913,0.0168756540561016
"4",17,1,1,0,0,0.0145467473726117,0.016643657267972,0.0168280568731943,0.0168442516407428,0.0168456718738938,0.0168457961788028
"5",22,1,1,0,0,0.0145269311522239,0.0166173195349042,0.0168009107221146,0.0168170111254765,0.0168184203019719,0.0168185430740727
"6",27,1,1,0,0,0.0145179185941903,0.0166047232940604,0.0167877341494265,0.0168037520459694,0.0168051475779102,0.0168052680429408
"7",32,1,1,0,0,0.0145097842682236,0.016592754155788,0.0167750688810811,0.0167909527408199,0.0167923238664778,0.0167924405210645
"8",37,1,1,0,0,0.01449959684383,0.0165774470461077,0.0167584804261475,0.016774107579495,0.0167754371287636,0.0167755481139697
"9",42,1,1,0,0,0.0144821339276869,0.0165487703808927,0.0167271706251121,0.0167423488158262,0.0167436158276361,0.0167437191138776
"10",50,1,1,0,0,0.0143999551122414,0.0164230073835477,0.0165932799329038,0.0166073028053302,0.0166084239594523,0.016608509032898
"11",60,1,1,0,0,0.0141843523116761,0.016110096005191,0.0162640663641802,0.016275749672203,0.016276555803576,0.016276602895026
"12",76,1,1,0,0,0.0132918861363043,0.0147955249962072,NA,NA,NA,NA
