"","age","male","msm","preg","TS0","TS5","TS10","TS15","TS20","TS25","TS30"
"1",2,0,0,0,0,0.0273809744002214,0.0420272806871877,0.0476017981084125,0.0490269069456693,0.0493384204365671,0.0493974073065605
"2",7,0,0,0,0,0.0273818451516111,0.0415981342617116,0.0452325915714587,0.0460270449195785,0.0461774792273393,0.0462048930909648
"3",12,0,0,0,0,0.0263195956590353,0.0356000981414629,0.0376287745185295,0.0380129160515205,0.0380829187241493,0.0381014114602593
"4",17,0,0,0,0,0.0218674807588283,0.0288634700075587,0.0301882375573204,0.0304296518830445,0.0304934267540764,0.0305130216162806
"5",22,0,0,0,0,0.0215952364461756,0.0276046644360629,0.028699798478889,0.0289891020738781,0.0290779907534989,0.0291104489114524
"6",27,0,0,0,0,0.0202329429354281,0.0257797235821598,0.0272450606177966,0.0276952861831914,0.0278596883610464,0.0279230820012538
"7",32,0,0,0,0,0.0208492730137458,0.0290496731470027,0.0315693230433245,0.0324893861485627,0.0328441633797562,0.0329797415505302
"8",37,0,0,0,0,0.0247154756728589,0.0353920244090636,0.0392907334032736,0.0407940794008264,0.0413685832936015,0.0415856821260719
"9",42,0,0,0,0,0.025099273646305,0.0379254373619357,0.0428713596783845,0.0447614446209072,0.0454756873605163,0.0457410661480654
"10",50,0,0,0,0,0.0271445851393561,0.0413762519996766,0.04678071925397,0.0488045732688622,0.0495445206653967,0.0498035494281474
"11",60,0,0,0,0,0.0268599678947257,0.0406378827620895,0.0456754119182493,0.0474388682868129,0.0480095053428937,0.0481694526644413
"12",76,0,0,0,0,0.02528415949235,0.0363919137816871,NA,NA,NA,NA
